Hassan Whiteside,UTA,7.6,0.4,8.2,22.9,.662,1.2,
Dalano Banton,TOR,1.9,1.5,3.2,10.0,.463,-0.2,
Brandon Clarke,MEM,5.3,1.3,10.4,23.7,.660,2.0,
Cade Cunningham,DET,5.5,5.6,17.4,13.1,.504,0.2,
Seth Curry,TOT,3.1,3.6,15.0,13.7,.615,0.8,
Stephen Curry,GSW,5.2,6.3,25.5,21.4,.601,4.4,
R.J. Hampton,ORL,3.0,2.5,7.6,8.5,.481,-0.7,
Ben McLemore,POR,1.6,0.9,10.2,11.7,.567,-0.4,
Dennis Schröder,TOT,3.3,4.6,13.5,13.0,.539,0.0,
Bogdan Bogdanović,ATL,4.0,3.1,15.1,15.4,.562,1.5,
Aaron Holiday,TOT,1.9,2.4,6.3,12.6,.544,0.1,
Damion Lee,GSW,3.2,1.0,7.4,10.9,.561,0.0,
Kyle Lowry,MIA,4.5,7.5,13.4,15.0,.600,2.1,
Otto Porter Jr.,GSW,5.7,1.5,8.2,15.9,.581,1.8,
Terrence Ross,ORL,2.6,1.8,10.0,10.0,.515,-0.6,
Lamar Stevens,CLE,2.6,0.7,6.1,11.3,.544,-0.2,
Moritz Wagner,ORL,3.7,1.4,9.0,18.1,.623,0.9,
Avery Bradley,LAL,2.2,0.8,6.4,7.8,.550,-0.6,
Wendell Carter Jr.,ORL,10.5,2.8,15.0,18.4,.601,1.7,
Danny Green,PHI,2.5,1.0,5.9,9.5,.561,0.5,
James Johnson,BRK,3.5,2.1,5.5,10.3,.513,-0.1,
CJ McCollum,TOT,4.3,5.1,22.1,18.3,.553,2.1,
Jordan McLaughlin,MIN,1.5,2.9,3.8,13.4,.535,0.6,
Trey Murphy III,NOP,2.4,0.6,5.4,12.5,.558,0.2,
Jaylen Nowell,MIN,2.0,2.1,8.5,16.8,.581,0.7,
Jordan Nwora,MIL,3.6,1.0,7.9,9.9,.506,-0.6,
Domantas Sabonis,TOT,12.1,5.2,18.9,21.9,.637,3.2,
Ziaire Williams,MEM,2.1,1.0,8.1,9.7,.559,-0.3,
Gary Harris,ORL,2.0,1.8,11.1,10.9,.571,-0.2,
Lauri Markkanen,CLE,5.7,1.3,14.8,14.7,.582,1.1,
Aleksej Pokusevski,OKC,5.2,2.1,7.6,12.0,.485,-0.2,
Kevin Porter Jr.,HOU,4.4,6.2,15.6,13.5,.531,0.2,
Austin Reaves,LAL,3.2,1.8,7.3,11.5,.600,0.0,
Coby White,CHI,3.0,2.9,12.7,12.6,.564,0.0,
Robert Williams,BOS,9.6,2.0,10.0,22.1,.745,3.4,
Trent Forrest,UTA,1.7,1.8,3.3,10.9,.554,0.2,
Talen Horton-Tucker,LAL,3.2,2.7,10.0,11.0,.503,-0.5,
Dwight Howard,LAL,5.9,0.6,6.2,18.2,.657,0.4,
Tre Mann,OKC,2.9,1.5,10.4,10.2,.501,-0.8,
Caleb Martin,MIA,3.8,1.1,9.2,14.8,.611,1.1,
Chimezie Metu,SAC,5.6,1.0,8.9,13.4,.546,0.2,
Keita Bates-Diop,SAS,3.9,0.7,5.7,12.4,.578,-0.1,
Nicolas Batum,LAC,4.3,1.7,8.3,13.5,.608,1.6,
De'Aaron Fox,SAC,3.9,5.6,23.2,17.4,.549,0.7,
Maxi Kleber,DAL,5.9,1.2,7.0,11.0,.537,0.6,
Garrett Temple,NOP,2.4,1.3,5.2,8.6,.494,-0.1,
Deandre Ayton,PHO,10.2,1.4,17.2,21.9,.656,2.1,
Patrick Beverley,MIN,4.1,4.6,9.2,14.8,.539,1.7,
Hamidou Diallo,DET,4.8,1.3,11.0,15.7,.541,0.5,
CJ Elleby,POR,3.9,1.5,5.8,9.2,.491,-1.0,
Caris LeVert,TOT,3.7,4.3,17.0,15.1,.525,0.4,
Frank Ntilikina,DAL,1.4,1.2,4.1,10.4,.513,0.0,
Eric Paschall,UTA,1.8,0.6,5.8,13.9,.612,0.3,
Cameron Payne,PHO,3.0,4.9,10.8,13.8,.500,0.7,
Jimmy Butler,MIA,5.9,5.5,21.4,23.6,.592,4.0,
Eric Gordon,HOU,2.0,2.7,13.4,12.1,.614,-0.1,
Ja Morant,MEM,5.7,6.7,27.4,24.4,.575,3.9,
Anfernee Simons,POR,2.6,3.9,17.3,15.3,.583,0.5,
Tristan Thompson,TOT,5.1,0.6,6.0,14.9,.541,-0.3,
Bam Adebayo,MIA,10.1,3.4,19.1,21.8,.608,2.7,
Jarrett Allen,CLE,10.8,1.6,16.1,23.0,.698,2.7,
DeAndre' Bembry,TOT,2.9,1.2,5.1,11.9,.601,0.3,
Dāvis Bertāns,TOT,2.1,0.6,5.6,9.4,.531,-0.1,
Shai Gilgeous-Alexander,OKC,5.0,5.9,24.5,20.9,.557,2.7,
Blake Griffin,BRK,4.1,1.9,6.4,13.7,.518,0.3,
LeBron James,LAL,8.2,6.2,30.3,26.2,.619,5.1,
Damian Jones,SAC,4.4,1.2,8.1,18.3,.701,0.6,
Jeremy Lamb,TOT,2.8,1.4,7.3,13.3,.521,0.3,
Svi Mykhailiuk,TOR,1.6,0.8,4.6,9.6,.509,-0.2,
Jusuf Nurkić,POR,11.1,2.8,15.0,20.0,.586,0.9,
Lou Williams,ATL,1.6,1.9,6.3,12.1,.500,-0.3,
Omer Yurtseven,MIA,5.3,0.9,5.3,17.4,.546,0.2,
D.J. Augustin,TOT,1.2,1.9,5.3,9.7,.610,-0.4,
Khem Birch,TOR,4.3,1.0,4.5,13.2,.534,0.2,
Tony Bradley,CHI,3.4,0.5,3.0,14.9,.600,0.0,
Chris Duarte,IND,4.1,2.1,13.1,12.3,.537,-0.1,
Kevin Durant,BRK,7.4,6.4,29.9,25.6,.634,4.8,
Rudy Gay,UTA,4.4,1.0,8.1,13.0,.539,0.3,
Brandon Ingram,NOP,5.8,5.6,22.7,18.7,.554,1.9,
